_id,id,date,time,details
66110b129756cb91bca7b711,6610fa6bfc13ae21b3ab8ba3,11/15/2023,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,사회과학원 어학연구소
66110b129756cb91bca7b712,6610fa6bfc13ae21b3ab8ba4,10/19/2023,␣, test 
66110b129756cb91bca7b713,6610fa6bfc13ae21b3ab8ba5,11/27/2023,₀₁₂,⁰⁴⁵
66110b129756cb91bca7b714,6610fa6bfc13ae21b3ab8ba6,3/11/2024,社會科學院語學研究所,nan
66110b129756cb91bca7b715,6610fa6bfc13ae21b3ab8ba7,2/16/2024,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,NIL
66110b129756cb91bca7b716,6610fa6bfc13ae21b3ab8ba8,11/13/2023,NIL,﻿
66110b129756cb91bca7b717,6610fa6bfc13ae21b3ab8ba9,12/25/2023,0/0,울란바토르
66110b129756cb91bca7b718,6610fa6bfc13ae21b3ab8baa,1/3/2024,/dev/null; touch /tmp/blns.fail ; echo,0/0
66110b129756cb91bca7b719,6610fa6bfc13ae21b3ab8bab,4/6/2023,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 
66110b129756cb91bca7b71a,6610fa6bfc13ae21b3ab8bac,7/8/2023,"'""'",✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿
66110b129756cb91bca7b71b,6610fa6bfc13ae21b3ab8bad,12/5/2023,١٢٣,0/0
66110b129756cb91bca7b71c,6610fa6bfc13ae21b3ab8bae,7/17/2023,ÅÍÎÏ˝ÓÔÒÚÆ☃,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟
66110b129756cb91bca7b71d,6610fa6bfc13ae21b3ab8baf,1/9/2024,"""""",ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ 
66110b129756cb91bca7b71e,6610fa6bfc13ae21b3ab8bb0,4/30/2023,(｡◕ ∀ ◕｡), test 
66110b129756cb91bca7b71f,6610fa6bfc13ae21b3ab8bb1,7/26/2023,社會科學院語學研究所,/dev/null; touch /tmp/blns.fail ; echo
66110b129756cb91bca7b720,6610fa6bfc13ae21b3ab8bb2,11/6/2023,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,nan
66110b129756cb91bca7b721,6610fa6bfc13ae21b3ab8bb3,2/18/2024,',␢
66110b129756cb91bca7b722,6610fa6bfc13ae21b3ab8bb4,8/25/2023,',1E02
66110b129756cb91bca7b723,6610fa6bfc13ae21b3ab8bb5,9/5/2023,1;DROP TABLE users,œ∑´®†¥¨ˆøπ“‘
66110b129756cb91bca7b724,6610fa6bfc13ae21b3ab8bb6,8/30/2023,​,・(￣∀￣)・:*:
66110b129756cb91bca7b725,6610fa6bfc13ae21b3ab8bb7,12/22/2023,社會科學院語學研究所,00˙Ɩ$-
66110b129756cb91bca7b726,6610fa6bfc13ae21b3ab8bb8,3/12/2024,`⁄€‹›ﬁﬂ‡°·‚—±,åß∂ƒ©˙∆˚¬…æ
66110b129756cb91bca7b727,6610fa6bfc13ae21b3ab8bb9,2/18/2024,-1/2,"__ﾛ(,_,*)"
66110b129756cb91bca7b728,6610fa6bfc13ae21b3ab8bba,2/5/2024,00˙Ɩ$-,../../../../../../../../../../../etc/passwd%00
66110b129756cb91bca7b729,6610fa6bfc13ae21b3ab8bbb,11/4/2023,1E2,!@#$%^&*()
66110b129756cb91bca7b72a,6610fa6bfc13ae21b3ab8bbc,8/26/2023,"""''''""'""",・(￣∀￣)・:*:
66110b129756cb91bca7b72b,6610fa6bfc13ae21b3ab8bbd,4/23/2023,1.00,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧
66110b129756cb91bca7b72c,6610fa6bfc13ae21b3ab8bbe,2/2/2024,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’","בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ"
66110b129756cb91bca7b72d,6610fa6bfc13ae21b3ab8bbf,9/11/2023,1E02,-1E2
66110b129756cb91bca7b72e,6610fa6bfc13ae21b3ab8bc0,1/3/2024,1/2,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧
66110b129756cb91bca7b72f,6610fa6bfc13ae21b3ab8bc1,1/17/2024,‫test‫,₀₁₂
66110b129756cb91bca7b730,6610fa6bfc13ae21b3ab8bc2,3/24/2024,nan,-1E2
66110b129756cb91bca7b731,6610fa6bfc13ae21b3ab8bc3,6/11/2023,社會科學院語學研究所,-1E2
66110b129756cb91bca7b732,6610fa6bfc13ae21b3ab8bc4,2/21/2024,-1E2,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
66110b129756cb91bca7b733,6610fa6bfc13ae21b3ab8bc5,6/14/2023,-1E+02,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’"
66110b129756cb91bca7b734,6610fa6bfc13ae21b3ab8bc6,1/5/2024,⁰⁴⁵₀₁₂,・(￣∀￣)・:*:
66110b129756cb91bca7b735,6610fa6bfc13ae21b3ab8bc7,6/27/2023,<svg><script>0<1>alert('XSS')</script>,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙
66110b129756cb91bca7b736,6610fa6bfc13ae21b3ab8bc8,10/26/2023,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,パーティーへ行かないか
66110b129756cb91bca7b737,6610fa6bfc13ae21b3ab8bc9,11/16/2023,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,᠎
66110b129756cb91bca7b738,6610fa6bfc13ae21b3ab8bca,2/17/2024,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,"__ﾛ(,_,*)"
66110b129756cb91bca7b739,6610fa6bfc13ae21b3ab8bcb,11/28/2023,",./;'[]\-=",⁰⁴⁵
66110b129756cb91bca7b73a,6610fa6bfc13ae21b3ab8bcc,2/15/2024,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,"'""'"
66110b129756cb91bca7b73b,6610fa6bfc13ae21b3ab8bcd,10/4/2023,../../../../../../../../../../../etc/passwd%00,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰
66110b129756cb91bca7b73c,6610fa6bfc13ae21b3ab8bce,5/25/2023,"<>?:""{}|_+",(╯°□°）╯︵ ┻━┻)  
66110b129756cb91bca7b73d,6610fa6bfc13ae21b3ab8bcf,10/9/2023,₀₁₂,𠜎𠜱𠝹𠱓𠱸𠲖𠳏
66110b129756cb91bca7b73e,6610fa6bfc13ae21b3ab8bd0,10/16/2023,../../../../../../../../../../../etc/passwd%00,-1.00
